2025-07-16 01:07:22.553 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:22.553 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x9e16f5ff0d0ce2a6b551211afe25084cfdc35612) already exists.
2025-07-16 01:07:22.553 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:23.404 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:23.404 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xb8a5f65865f4db8b7c49992e9a05320334965243) already exists.
2025-07-16 01:07:23.404 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:26.779 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:26.779 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x65914158e7a82413804510fee3421fe18856a043) already exists.
2025-07-16 01:07:26.779 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:27.828 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:27.828 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbbeb3d9ecfb4ff9ead33824c84c12d2ad7f589b5) already exists.
2025-07-16 01:07:27.828 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:30.907 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:30.907 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xb24523f56c3d31f45f818682423ba144b94159e6) already exists.
2025-07-16 01:07:30.907 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:32.003 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:32.003 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc8e6caaa2250df8a9fcbdeb6200f97bc79cfdadd) already exists.
2025-07-16 01:07:32.003 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:34.317 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:34.317 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x144903376b72534625b96915524e23e591a5a595) already exists.
2025-07-16 01:07:34.317 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-16 01:07:35.289 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:35.289 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x5ece602bb23236ef9824d7ae6bf334fe03faf377) already exists.
2025-07-16 01:07:35.289 UTC [60609] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-16 01:07:36.608 UTC [60609] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-16 01:07:36.608 UTC [60609] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x820da826c9e1e29ee83e9f74ba1844f14e224380) already exists.
