2025-02-25 07:54:16.633 UTC [3055] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:16.633 UTC [3055] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc980a0463c6ab9e1a77e9e2e68b554c3f2ffe4b9) already exists.
2025-02-25 07:54:16.633 UTC [3055] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:19.102 UTC [3056] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:19.102 UTC [3056] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xff0a1a3520d3d022424a0278460fdc872754d73a) already exists.
2025-02-25 07:54:19.102 UTC [3056] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:19.747 UTC [3061] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:19.747 UTC [3061] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x5c6eb85995bb32ba59225c2d3c52892b3565f023) already exists.
2025-02-25 07:54:19.747 UTC [3061] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:20.499 UTC [3054] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:20.499 UTC [3054] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x3be5bb706a60ce352f8f4ae179f2eda8042c7a63) already exists.
2025-02-25 07:54:20.499 UTC [3054] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:21.208 UTC [3006] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:21.208 UTC [3006] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x0a1cf5f5b9d38c04b2f4a126fe23fe03e5d82276) already exists.
2025-02-25 07:54:21.208 UTC [3006] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:21.942 UTC [3055] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:21.942 UTC [3055] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbde3647896809c3e25f382eb561184c9d91f3e1f) already exists.
2025-02-25 07:54:21.942 UTC [3055] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:22.591 UTC [3059] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:22.591 UTC [3059] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xac5ab3fe76e661db54bc93ccc2d9d9fff4c5b6f6) already exists.
2025-02-25 07:54:22.591 UTC [3059] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:23.282 UTC [3005] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:23.282 UTC [3005] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x989d6482fed7f7c94af46c6448de696bb918f35e) already exists.
2025-02-25 07:54:23.282 UTC [3005] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:24.083 UTC [3057] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:24.083 UTC [3057] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x18fdcc5e4a226487b1d612ccde69c35bb8d0e393) already exists.
2025-02-25 07:54:24.083 UTC [3057] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:24.904 UTC [3054] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:24.904 UTC [3054] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x1f8b404f9b6e01e394c869f4cc160481951afbc2) already exists.
2025-02-25 07:54:24.904 UTC [3054] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 07:54:26.754 UTC [3057] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 07:54:26.754 UTC [3057] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xca0e2b47b0e5e9c0080f906e00019bea1e9e6dd4) already exists.
2025-02-25 07:54:26.754 UTC [3057] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-02-25 11:23:43.574 UTC [4112] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-02-25 11:23:43.574 UTC [4112] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xd8e84afc18d2b273547155061befbae9cf48de7c) already exists.
2025-02-25 11:23:43.574 UTC [4112] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
