2025-03-26 23:36:12.116 UTC [22500] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:12.116 UTC [22500] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x820da826c9e1e29ee83e9f74ba1844f14e224380) already exists.
2025-03-26 23:36:12.116 UTC [22500] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:12.327 UTC [22500] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:12.327 UTC [22500] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x698d73914e9496ecdb57bbb105eae5b2304714d8) already exists.
2025-03-26 23:36:12.327 UTC [22500] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-03-26 23:36:12.902 UTC [22500] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:12.902 UTC [22500] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xfea41fbeb53a02aa16ea9cb6d0dba55e1abd0140) already exists.
2025-03-26 23:36:12.902 UTC [22500] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:13.447 UTC [22504] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:13.447 UTC [22504] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xff6eb17ede61fd681dec5c8e4338d064237730f3) already exists.
2025-03-26 23:36:13.447 UTC [22504] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:18.586 UTC [22502] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:18.586 UTC [22502] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x4f9dff8195924be8360c53a32501cdec5e53e9a6) already exists.
2025-03-26 23:36:18.586 UTC [22502] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:18.784 UTC [22501] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:18.784 UTC [22501] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x82128445bec7fff34fbee0571bda61a8f03579c8) already exists.
2025-03-26 23:36:18.784 UTC [22501] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-03-26 23:36:19.617 UTC [22504] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:19.617 UTC [22504] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xc9c51910dec78730859fcaf04d92a6af1e3c6969) already exists.
2025-03-26 23:36:19.617 UTC [22504] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:20.028 UTC [22507] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:20.028 UTC [22507] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x05ec6bd3b2569041d665fc1c6e9d8bc16f0de180) already exists.
2025-03-26 23:36:20.028 UTC [22507] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-03-26 23:36:20.303 UTC [22509] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-03-26 23:36:20.303 UTC [22509] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xb613a6fb04a9470f54acb98eebf9cdd92c9794f9) already exists.
