2025-01-09 19:02:43.620 UTC [7693] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-09 19:02:43.620 UTC [7693] DETAIL:  Key ("ownerId", checksum)=(6165455f-a5fd-4155-b54f-97d5da141b00, \xf4725a51e5d2689e67a76c203b9b63bb25f5a005) already exists.
2025-01-09 19:02:43.620 UTC [7693] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-09 19:02:51.750 UTC [7693] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-09 19:02:51.750 UTC [7693] DETAIL:  Key ("ownerId", checksum)=(6165455f-a5fd-4155-b54f-97d5da141b00, \xf4725a51e5d2689e67a76c203b9b63bb25f5a005) already exists.
2025-01-09 19:02:51.750 UTC [7693] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-09 19:03:05.309 UTC [7693] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-09 19:03:05.309 UTC [7693] DETAIL:  Key ("ownerId", checksum)=(6165455f-a5fd-4155-b54f-97d5da141b00, \xf4725a51e5d2689e67a76c203b9b63bb25f5a005) already exists.
2025-01-09 19:03:05.309 UTC [7693] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
2025-01-09 19:04:23.230 UTC [7692] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-01-09 19:04:23.230 UTC [7692] DETAIL:  Key ("ownerId", checksum)=(6165455f-a5fd-4155-b54f-97d5da141b00, \xf4725a51e5d2689e67a76c203b9b63bb25f5a005) already exists.
2025-01-09 19:04:23.230 UTC [7692] STATEMENT:  INSERT INTO "assets"("id", "deviceAssetId", "ownerId", "libraryId", "deviceId", "type", "status", "originalPath", "thumbhash", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "fileCreatedAt", "localDateTime", "fileModifiedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "checksum", "duration", "isVisible", "livePhotoVideoId", "originalFileName", "sidecarPath", "stackId", "duplicateId") VALUES (DEFAULT, $1, $2, $3, $4, $5, DEFAULT, $6, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, $7, $8, $9, $10, $11, DEFAULT, DEFAULT, $12, $13, $14, DEFAULT, $15, DEFAULT, DEFAULT, DEFAULT) RETURNING "id", "status", "encodedVideoPath", "createdAt", "updatedAt", "deletedAt", "isFavorite", "isArchived", "isExternal", "isOffline", "isVisible"
