2025-07-10 01:15:43.401 UTC [17232] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 01:15:43.401 UTC [17232] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x65914158e7a82413804510fee3421fe18856a043) already exists.
2025-07-10 01:15:43.401 UTC [17232] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-10 01:15:44.362 UTC [17232] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 01:15:44.362 UTC [17232] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xbbeb3d9ecfb4ff9ead33824c84c12d2ad7f589b5) already exists.
2025-07-10 01:15:44.362 UTC [17232] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-10 01:15:47.054 UTC [17232] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 01:15:47.054 UTC [17232] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x9e16f5ff0d0ce2a6b551211afe25084cfdc35612) already exists.
2025-07-10 01:15:47.054 UTC [17232] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-10 02:41:48.725 UTC [17669] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 02:41:48.725 UTC [17669] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x820da826c9e1e29ee83e9f74ba1844f14e224380) already exists.
2025-07-10 02:41:48.725 UTC [17669] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-10 02:41:48.998 UTC [17669] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 02:41:48.998 UTC [17669] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x698d73914e9496ecdb57bbb105eae5b2304714d8) already exists.
2025-07-10 02:41:48.998 UTC [17669] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-07-10 02:41:49.914 UTC [17669] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 02:41:49.914 UTC [17669] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \xff6eb17ede61fd681dec5c8e4338d064237730f3) already exists.
2025-07-10 02:41:49.914 UTC [17669] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-10 02:50:54.493 UTC [17669] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 02:50:54.493 UTC [17669] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x944a38debe3673f19411a9038fb5aa5e29239954) already exists.
2025-07-10 02:50:54.493 UTC [17669] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning *
2025-07-10 02:50:55.229 UTC [17669] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-07-10 02:50:55.229 UTC [17669] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x987c4f35d7e59b3bd9233884e86da07c370b4491) already exists.
2025-07-10 02:50:55.229 UTC [17669] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "duration", "visibility", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
